,hit_type_id,hit_id,assign_id,worker_id
0,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3GD6L00D3SY05QV3P4MABADE7G1M1J,A171S8E9IFSHH2
1,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,37XITHEISWABP9ITA97BE5QFH0RCRN,A1PBRKFHSF1OF8
2,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3D8YOU6S9ELEPK194CPDXGLPSDKU6H,A2K607J3Z68WRR
3,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3U84XHCDICEHWWR5RBV6HAGQY4TZ4Q,A98E8M4QLI9RS
4,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3OVHNO1VE62UWSAYKMWZKEAWBHPDZK,AJQGWGESKQT4Y
5,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3LKC68YZ3A4H6UWIZ8Q8W4SDYTSOW2,A49MD40UT6ABO
6,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3ATPCQ38J8BWTVXH4Q3EG6TOKKTYAH,A11ILN5YSUDVG8
7,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3QAPZX2QN4EARX6SJ3ZQIWG6WJN20E,A31PW970Z2PC5P
8,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3QHK8ZVMIMJHC6VARPEKH9BYUOEBL4,A3GWRDHAURRNK6
9,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3A4NIXBJ760DVXZ7IE4TVPMS6NNML9,A39SK1E6IMQBD5
10,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3FFJ6VRIL1PE2IKU86KI5CNNMGTI0H,AURYD2FH3FUOQ
11,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3FTYUGLFSUMWPEQ9DYPJVA31BJ5D54,A2BT7QVGXJKFKI
12,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3TXMY6UCAEPBD83TXUIB9FGAMFUCQU,A5TWD5QD99GZY
13,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3AAPLD8UCCIFMW610QQ7PBODJF7TH9,A21LONLNBOB8Q
14,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,3TS1AR6UQQF8A2IOSXZ6HUKIE3MF74,ATR6RB1RULOC0
15,3UI2IY8XYLCLHXI27YCMAC4F3GMOUJ,3RZS0FBRWKBNRC4K7FYKLRV9X1GPCK,336KAV9KYQT7OS2DRBAZAOAQ9ZD2YX,ARCZLTB18LD33
